Asset Tag,Item Name,Model Name,Next Audit Date,PatTest_Result,Location
510,510,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
513,513,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
523,523,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
471,471,ETC SOURCE 4 ZOOM 25-50,2026-13-08,Pass,4067
361,361,ETC SOURCE 4 ZOOM 25-50,2026-13-08,Pass,4067
945,945,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
926,926,THOMAS FLOOD 1 CELL,2026-14-08,Pass,4067
521,521,ETC SOURCE 4 ZOOM 15-30,2026-14-08,Pass,4067
360,360,ETC SOURCE 4 ZOOM 25-50,2026-14-08,Pass,4067
362,362,ETC SOURCE 4 ZOOM 25-50,2026-14-08,Pass,4067
977,977,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
946,946,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
512,512,ETC SOURCE 4 ZOOM 15-30,2026-14-08,Pass,4067
508,508,ETC SOURCE 4 ZOOM 15-30,2026-14-08,Pass,4067
524,524,ETC SOURCE 4 ZOOM 15-30,2026-14-08,Pass,4067
686,686,ETC SOURCE 4 ZOOM 25-50,2026-14-08,Pass,4067
3214,3214,ETC SOURCE 4 ZOOM 25-50,2026-14-08,Pass,4067
981,981,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
978,978,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
765,765,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
611,611,STRAND PATT 743,2026-14-08,Pass,4067
5012,5012,ETC SOURCE 4 - 10,2026-14-08,Pass,4067
916,916,ETC SOURCE 4 - 10,2026-14-08,Pass,4067
560,560,STRAND PATT 743,2026-14-08,Pass,4067
585,585,STRAND PATT 743,2026-14-08,Pass,4067
0,0,UnknownMONTY EX DMX,2027-16-01,Pass,0
609,609,STRAND PATT 743,2026-14-08,Pass,4067
586,586,STRAND PATT 743,2026-14-08,Pass,4067
704,704,STRAND PATT 743,2026-14-08,Pass,4067
613,613,STRAND PATT 743,2026-14-08,Pass,4067
563,563,STRAND PATT 743,2026-14-08,Pass,4067
562,562,STRAND PATT 743,2026-14-08,Pass,4067
702,702,STRAND PATT 743,2026-14-08,Pass,4067
518,518,ETC SOURCE 4 ZOOM 15-30,2026-14-08,Pass,4067
583,583,STRAND PATT 743,2026-14-08,Pass,4067
622,622,STRAND PATT 123,2026-14-08,Pass,4067
5011,5011,ETC SOURCE 4 - 36,2026-14-08,Pass,4067
505,505,ETC SOURCE 4 - 10,2026-14-08,Pass,4067
556,556,ETC SOURCE 4 - 10,2026-14-08,Pass,4067
359,359,ETC SOURCE 4 ZOOM 25-50,2026-14-08,Pass,4067
4930,4930,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
4917,4917,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
4926,4926,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
621,621,STRAND PATT 123,2026-14-08,Pass,4067
696,696,STRAND PATT 23,2026-14-08,Pass,4067
623,623,STRAND PATT 123,2026-14-08,Pass,4067
700,700,STRAND PATT 23,2026-14-08,Pass,4067
618,618,STRAND PATT 123,2026-14-08,Pass,4067
620,620,STRAND PATT 123,2026-14-08,Pass,4067
587,587,STRAND PATT 243,2026-14-08,Pass,4067
705,705,STRAND PATT 123,2026-14-08,Pass,4067
616,616,STRAND PATT 123,2026-14-08,Pass,4067
699,699,STRAND PATT 23,2026-14-08,Pass,4067
506,506,STRAND BEAM LIGHT,2026-14-08,Pass,4067
863,863,STRAND PATT 23,2026-14-08,Pass,4067
593,593,STRAND PATT 243,2026-14-08,Pass,4067
592,592,STRAND PATT 243,2026-14-08,Pass,4067
697,697,STRAND PATT 23,2026-14-08,Pass,4067
595,595,STRAND PATT 243,2026-14-08,Pass,4067
591,591,STRAND PATT 243,2026-14-08,Pass,4067
507,507,STRAND BEAM LIGHT,2026-14-08,Pass,4067
588,588,STRAND PATT 243,2026-14-08,Pass,4067
619,619,STRAND PATT 123,2026-14-08,Pass,4067
589,589,STRAND PATT 243,2026-14-08,Pass,4067
617,617,STRAND PATT 123,2026-14-08,Pass,4067
466,466,ETC SOURCE 4 - 19,2026-14-08,Pass,4067
4916,4916,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
4887,4887,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
4937,4937,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
4924,4924,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
756,756,Unknownpar bar,2026-14-08,Pass,4067
4919,4919,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4938,4938,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4922,4922,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4915,4915,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
3551,3551,500W SUN FLOOD,2026-15-08,Pass,4067
4931,4931,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4936,4936,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4928,4928,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4900,4900,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4894,4894,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4913,4913,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4885,4885,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4891,4891,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4892,4892,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4897,4897,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4905,4905,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4925,4925,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4904,4904,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4927,4927,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4920,4920,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4898,4898,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4935,4935,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4918,4918,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4934,4934,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4910,4910,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4889,4889,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4886,4886,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4888,4888,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4933,4933,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4929,4929,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4895,4895,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4914,4914,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4923,4923,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4909,4909,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4899,4899,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4912,4912,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4901,4901,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4907,4907,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4911,4911,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4906,4906,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4902,4902,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4908,4908,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4896,4896,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4893,4893,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4903,4903,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4921,4921,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4932,4932,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
3051,3051,16A SPLITTER,2026-15-08,Pass,4067
4090,4090,16A TRS - 5m,2026-15-08,Pass,4067
1635,1635,16A TRS - 2m,2026-15-08,Pass,4067
2042,2042,16A TRS - 5m,2026-15-08,Pass,4067
2438,2438,16A TRS - 15m,2026-15-08,Pass,4067
1647,1647,13A > 16A ADAPTER,2026-15-08,Pass,4067
4802,4802,13A > 16A ADAPTER,2026-15-08,Pass,4067
3110,3110,13A EXTENSION,2026-15-08,Pass,4067
4939,4939,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4524,4524,PROLIGHT STUDIO COB,2026-15-08,Pass,4067
4523,4523,PROLIGHT STUDIO COB,2026-15-08,Pass,4067
4529,4529,PROLIGHT STUDIO COB,2026-15-08,Pass,4067
4522,4522,PROLIGHT STUDIO COB,2026-15-08,Pass,4067
4526,4526,PROLIGHT STUDIO COB,2026-15-08,Pass,4067
4531,4531,PROLIGHT STUDIO COB,2026-15-08,Pass,4067
4527,4527,PROLIGHT STUDIO COB,2026-15-08,Pass,4067
4528,4528,PROLIGHT STUDIO COB,2026-15-08,Pass,4067
4530,4530,PROLIGHT STUDIO COB,2026-15-08,Pass,4067
3950,3950,STRAND PATT 123,2026-15-08,Pass,4067
801,801,BIRDIE - 240 V,2026-15-08,Pass,4067
3290,3290,BIRDIE - 240 V,2026-15-08,Pass,4067
809,809,BIRDIE - 240 V,2026-15-08,Pass,4067
805,805,BIRDIE - 240 V,2026-15-08,Pass,4067
3952,3952,BIRDIE - 240 V,2026-15-08,Pass,4067
3293,3293,BIRDIE - 240 V,2026-15-08,Pass,4067
753,753,AERO 4- WAY BATTEN,2026-15-08,Pass,4067
758,758,AERO 4- WAY BATTEN,2026-15-08,Pass,4067
787,787,AERO 4- WAY BATTEN,2026-15-08,Pass,4067
754,754,AERO 4- WAY BATTEN,2026-15-08,Pass,4067
757,757,AERO 4- WAY BATTEN,2026-15-08,Pass,4067
755,755,AERO 4- WAY BATTEN,2026-15-08,Pass,4067
786,786,AERO 4- WAY BATTEN,2026-15-08,Pass,4067
4711,4711,IEC CABLE,2026-15-08,Pass,4067
4766,4766,IEC CABLE,2026-15-08,Pass,4067
4257,4257,IEC CABLE,2026-15-08,Pass,4067
4282,4282,IEC CABLE,2026-15-08,Pass,4067
4591,4591,IEC CABLE,2026-15-08,Pass,4067
4258,4258,IEC CABLE,2026-15-08,Pass,4067
4276,4276,IEC CABLE,2026-15-08,Pass,4067
4389,4389,IEC SPLITTER,2026-15-08,Pass,4067
1278,1278,16A IEC CABLE,2026-15-08,Pass,4067
4772,4772,16A IEC CABLE,2026-15-08,Pass,4067
4248,4248,IEC SPLITTER,2026-15-08,Pass,4067
4253,4253,IEC SPLITTER,2026-15-08,Pass,4067
5274,5274,13A > IEC JUMPER,2026-15-08,Pass,4067
3111,3111,13A EXTENSION,2026-15-08,Pass,4067
3126,3126,13A EXTENSION,2026-15-08,Pass,4067
355,355,PAR 64,2026-15-08,Pass,4067
818,818,500W SUN FLOOD,2026-18-08,Pass,4067
2041,2041,16A TRS - 1m,2026-18-08,Pass,4067
1712,1712,16A TRS - 5m,2026-18-08,Pass,4067
1871,1871,16A TRS - 20m,2026-18-08,Pass,4067
1458,1458,16A TRS - 5m,2026-18-08,Pass,4067
4119,4119,16A > 13A ADAPTER,2026-18-08,Pass,4067
4186,4186,16A > 13A ADAPTER,2026-18-08,Pass,4067
3502,3502,FOLLOWSPOT BALLAST,2026-18-08,Pass,4067
3501,3501,LED PAR CAN,2026-22-08,Pass,4067
4032,4032,MONITOR,2026-18-08,Pass,4067
4031,4031,MONITOR,2026-18-08,Pass,4067
4030,4030,MONITOR,2026-18-08,Pass,4067
10801,10801,Unknown,2026-18-08,Pass,4067
4038,4038,Unknown,2026-20-08,Pass,4067
937,937,ATOMIC STROBE,2026-21-08,Pass,4067
970,970,ATOMIC STROBE,2026-21-08,Pass,4067
2552,2552,JEM AF1,2026-21-08,Pass,4067
3716,3716,JEM AF1,2026-21-08,Pass,4067
4559,4559,LE MAITRE MVS HAZER,2026-21-08,Pass,4067
993,993,JEM AF1,2026-21-08,Pass,4067
3494,3494,ATOMIC STROBE,2026-21-08,Pass,4067
3495,3495,ATOMIC STROBE,2026-21-08,Pass,4067
3284,3284,SMOKE MACHINE,2026-21-08,Pass,4067
4613,4613,SMOKE MACHINE,2026-21-08,Pass,4067
2567,2567,SMOKE MACHINE,2026-21-08,Pass,4067
2565,2565,SMOKE MACHINE,2026-21-08,Pass,4067
816,816,SMOKE MACHINE,2026-21-08,Pass,4067
3064,3064,UV LIGHT,2026-21-08,Pass,4067
3991,3991,LED BIRDIE,2026-21-08,Pass,4067
3992,3992,LED BIRDIE,2026-21-08,Pass,4067
3984,3984,LED BIRDIE,2026-21-08,Pass,4067
3986,3986,LED BIRDIE,2026-21-08,Pass,4067
3990,3990,Unknown,2026-21-08,Pass,4067
3985,3985,SMOKE MACHINE,2026-21-08,Pass,4067
3987,3987,Unknown,2026-21-08,Pass,4067
3988,3988,SMOKE MACHINE,2026-21-08,Pass,4067
3989,3989,SMOKE MACHINE,2026-21-08,Pass,4067
4614,4614,MIRRORBALL ROTATOR,2026-21-08,Pass,4067
5323,5323,MIRRORBALL ROTATOR,2026-21-08,Pass,4067
3373,3373,MIRRORBALL ROTATOR,2026-21-08,Pass,4067
3374,3374,SUNSTRIP,2026-21-08,Pass,4067
4536,4536,SUNSTRIP,2026-21-08,Pass,4067
1527,1527,16A TRS - 10m,2026-21-08,Pass,4067
2560,2560,16A TRS - 10m,2026-21-08,Pass,4067
3375,3375,SUNSTRIP,2026-21-08,Pass,4067
2563,2563,LED BIRDIE,2026-21-08,Pass,4067
4691,4691,SUNSTRIP,2026-21-08,Pass,4067
4545,4545,SUNSTRIP,2026-21-08,Pass,4067
4546,4546,SUNSTRIP,2026-21-08,Pass,4067
4548,4548,Unknown,2026-21-08,Pass,4067
4533,4533,SUNSTRIP,2026-21-08,Pass,4067
4534,4534,Unknown,2026-21-08,Pass,4067
4535,4535,SUNSTRIP,2026-21-08,Pass,4067
4532,4532,SUNSTRIP,2026-21-08,Pass,4067
4612,4612,SUNSTRIP,2026-21-08,Pass,4067
4543,4543,Unknown,2026-21-08,Pass,4067
2561,2561,LED BIRDIE,2026-21-08,Pass,4067
4544,4544,SUNSTRIP,2026-22-08,Pass,4067
3073,3073,AXIAL FAN,2026-22-08,Pass,4067
3955,3955,AXIAL FAN,2026-22-08,Pass,4067
3960,3960,AXIAL FAN,2026-22-08,Pass,4067
1529,1529,LED BIRDIE,2026-22-08,Pass,4067
2562,2562,LED BIRDIE,2026-22-08,Pass,4067
4042,4042,Unknown,2026-22-08,Pass,4067
3071,3071,AXIAL FAN,2026-22-08,Pass,4067
3072,3072,AXIAL FAN,2026-22-08,Pass,4067
2856,2856,32A > 16A RUBBER BOX,2026-22-08,Pass,4067
3006,3006,32A > 16A RUBBER BOX,2026-22-08,Pass,4067
2857,2857,32A > 16A RUBBER BOX,2026-22-08,Pass,4067
2310,2310,32A > 16A RUBBER BOX,2026-22-08,Pass,4067
